SPECIES,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Heron, Great Blue ",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Goose, Canada ",0,1,3,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0
"Goose, Snow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Duck,Wood ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Duck, Mallard",6,4,40,72,49,85,53,32,63,0,0,14,125,150,19,180,57,22,67,137,29,75,25,18,51
"Duck, American Black ",58,24,0,2,15,53,5,4,6,0,2,0,0,0,0,0,5,1,5,10,0,1,0,0,2
"Merganser, Hooded ",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3
"Vulture, Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Eagle, Golden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Eagle, Bald",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,3,1,0,1,1,0
"Harrier, Northern ",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Hawk, Sharp-shinned ",0,0,1,2,0,0,0,0,2,0,3,0,0,0,0,2,2,0,2,1,0,1,1,0,0
"Hawk, Cooper's",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"Hawk, Northern Goshawk",0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"Hawk, Red-tailed ",0,0,0,0,1,0,0,1,0,0,1,2,1,0,3,5,3,4,1,3,3,0,1,2,2
Hawk Species (UH),1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,2,1,0,1,0,0
"Pheasant, Ring-necked ",0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"Grouse, Spruce ",0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"Grouse, Ruffed ",8,4,2,5,3,5,4,5,2,3,11,3,9,2,13,9,7,3,1,2,1,1,5,0,3
"Turkey, Wild ",0,0,0,0,0,0,0,0,1,0,19,0,0,30,185,181,75,6,72,65,116,64,0,75,75
"Gull, Ring-billed",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0
"Gull, Herring ",4,1,3,1,24,0,0,4,0,0,0,0,22,5,2,0,1,0,0,0,0,0,0,0,0
"Gull, Great Black-backed ",1,0,2,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,1,0,0,0,0,0
Gull Species (UG),0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"Dove, Mourning ",179,146,198,250,95,104,171,189,313,146,204,111,101,177,131,95,199,218,236,181,129,74,123,100,183
"Pigeon, Rock ",160,71,104,136,60,187,67,80,40,47,33,24,148,94,140,122,64,37,87,32,73,20,182,120,111
"Owl, Great Horned ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Owl, Barred ",0,0,1,0,0,0,0,1,3,0,2,0,1,1,0,4,2,0,3,1,1,0,2,1,0
"Woodpecker, Red-headed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Woodpecker, Red Bellied",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"Woodpecker, Downy ",62,16,19,28,20,45,41,25,34,14,46,28,12,24,44,71,43,60,43,35,39,23,28,23,44
"Woodpecker, Hairy ",39,21,26,20,30,22,26,14,30,15,24,11,23,29,47,22,34,38,40,39,43,38,40,25,40
"Woodpecker, Pileated ",6,2,5,3,4,1,0,2,4,0,3,3,7,4,5,7,4,4,4,7,5,4,3,3,10
"Shrike, Northern ",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1
"Jay, Blue ",631,191,190,171,154,100,60,176,302,46,137,140,165,143,112,152,284,116,47,537,344,70,173,96,288
"Jay, Gray ",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0
"Raven, Common ",36,11,11,12,11,9,17,18,9,14,3,10,65,12,81,24,101,25,55,50,34,114,20,34,34
"Crow, American ",347,133,239,302,179,303,64,151,112,214,72,191,140,148,90,80,234,167,41,178,111,66,135,111,153
"Lark, Horned ",25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tufted Titmouse,10,7,2,8,16,21,28,2,28,3,32,5,22,0,11,54,55,53,18,31,32,23,18,28,36
"Chickadee, Black-capped",875,600,454,669,355,506,555,593,998,363,762,375,623,528,692,985,843,731,656,735,488,424,409,362,623
"Chickadee, Boreal ",0,0,0,0,0,0,3,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Nuthatch, Red-breasted ",55,31,19,78,47,77,51,53,107,39,31,21,53,64,39,152,27,30,16,40,43,24,20,33,36
"Nuthatch, White-breasted",80,47,8,40,45,48,36,54,125,30,67,57,38,47,65,159,63,73,57,59,94,56,38,48,74
Brown Creeper,3,0,2,2,4,6,7,9,5,0,16,3,2,6,2,17,7,9,6,8,5,4,6,1,14
"Wren, Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Wren, Winter ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Kinglet, Golden-crowned ",10,0,1,1,2,36,2,5,1,16,0,27,4,21,17,53,9,15,2,8,9,2,42,6,12
"Bluebird, Eastern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,4
"Robin, American ",0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,2,8,4,0,7,1,0,28,1,14
"Thursh, Hermit ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mockingbird, Northern ",0,0,1,0,2,0,0,1,1,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0
"Starling, European ",213,134,112,230,82,131,77,77,140,185,98,180,102,175,196,241,19,70,96,62,74,63,412,114,173
"Waxwing, Bohemian ",37,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,13,0,41,78,0,49,9,0,0
"Waxwing, Cedar ",0,0,0,0,0,0,0,7,6,32,16,25,51,78,20,46,7,26,2,89,31,26,4,0,184
"Warbler, Yellow-rumped ",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cardinal, Northern ",7,5,10,3,2,11,8,4,15,10,8,5,4,5,5,13,6,36,3,18,10,5,4,6,15
"Grosbeak, Rose-breasted",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Towhee, Eastern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Sparrow, American Tree ",80,37,25,24,9,53,6,19,39,12,31,32,13,56,44,36,44,65,4,18,70,42,47,13,19
"Sparrow, White-throated ",0,0,0,2,0,0,0,0,0,0,1,2,0,5,0,2,0,1,0,1,2,1,0,0,0
"Sparrow, Fox",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Sparrow, Song ",2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4
"Sparrow, Swamp",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Junco, Dark-eyed ",16,4,93,2,5,52,3,29,62,21,19,177,9,67,12,28,8,230,5,19,31,24,207,17,40
"Junco, Oregon",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lapland Longspur,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snow Bunting,165,0,0,0,0,0,10,2,8,0,0,0,0,20,0,0,5,0,86,109,0,300,0,2,2
Sparrow species (US),0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,1,1,0,0,8,0,20,0
"Cowbird, Brown-headed ",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,5,0,0,0,0,0
"Blackbird, Red-winged",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18,0,0,1,0,0,0,0
"Grackle, Common",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0
"Grosbeak, Evening ",236,28,505,7,0,6,73,46,103,0,77,0,0,0,11,11,0,0,0,32,0,17,0,0,10
"Grosbeak, Pine ",9,0,0,0,8,0,4,0,22,0,35,0,35,0,0,0,12,0,47,16,0,0,0,2,0
"Finch, Purple ",43,11,7,10,16,0,0,0,2,0,0,45,1,4,0,38,8,2,0,3,0,0,1,0,9
"Finch, House ",1,42,33,21,7,43,8,5,30,0,3,8,20,3,0,2,4,0,21,10,10,0,9,2,3
"Crossbill, Red",0,0,0,0,0,16,0,65,53,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
"Crossbill, White-winged ",12,0,0,0,0,31,0,15,23,0,0,14,2,4,4,2,0,0,9,15,6,0,0,0,0
"Redpoll, Common",5,0,40,0,151,0,61,0,142,0,95,0,47,0,332,0,15,14,59,52,4,233,0,188,0
Pine Siskin,0,0,16,10,45,19,1,2,2,1,7,270,6,0,6,77,0,0,0,395,0,10,278,13,8
"Goldfinch, American ",99,64,167,120,130,290,3,480,28,237,5,282,39,176,10,427,48,381,16,233,143,53,427,7,248
"Sparrow, House ",80,153,92,40,74,151,7,62,104,101,121,50,76,71,51,43,15,18,4,19,36,65,28,37,13
Yellow bellied sapsucker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Northern Flicker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Common Merganser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Hawk, Rough-legged",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
All Bird Species,3608,1796,2437,2273,1649,2414,1452,2236,2970,1566,1994,2124,2028,2184,2406,3350,2336,2580,1856,3347,2020,1985,2745,1515,2546
